   n, quick_cmp, quick_swaps, quick_time
 147,      1713,         360,       1000
 148,      1713,         355,       1000
 149,      1747,         360,       1000
 150,      1832,         365,       1000
 151,      1872,         366,       1000
 152,      1856,         366,       1001
 153,      1825,         384,       1000
 154,      1896,         390,       1501
 155,      1804,         377,       1001
 156,      1845,         386,       1000
 157,      1858,         383,       1000
 158,      1959,         384,       1001
 159,      1901,         384,       1000
 160,      1924,         386,       1000
 161,      1944,         395,       1000
 162,      1956,         401,       1000
 163,      2084,         395,       1001
 164,      2023,         404,       1500
 165,      2107,         406,       1001
 166,      2257,         393,       1501
 167,      2129,         397,       1000
 168,      1928,         415,       1500
 169,      2115,         430,       1001
 170,      2113,         425,       1501
 171,      2108,         428,       1000
 172,      2364,         418,       1501
 173,      2198,         427,       1000
 174,      2296,         428,       1001
 175,      2366,         436,       1501
 176,      2273,         438,       1000
 177,      2137,         440,       1000
 178,      2321,         447,       1501
 179,      2429,         456,       1001
 180,      2265,         440,       1000
 181,      2230,         453,       1502
 182,      2293,         443,        999
 183,      2315,         448,       1001
 184,      2353,         475,       1501
 185,      2250,         461,       1501
 186,      2411,         472,       1001
 187,      2444,         479,       1000
 188,      2265,         462,       1000
 189,      2354,         463,       1501
 190,      2370,         475,       1501
 191,      2569,         494,       1501
 192,      2377,         494,       1000
 193,      2388,         498,        999
 194,      2361,         492,       1502
 195,      2564,         496,       1500
 196,      2453,         508,       1501
 197,      2497,         489,       1501
 198,      2591,         519,       1501
 199,      2523,         516,       1501
 200,      2586,         496,       1501
 201,      2774,         493,       1501
 202,      2479,         516,       1501
 203,      2558,         521,       1501
 204,      2712,         515,       1500
 205,      2641,         517,       1501
 206,      2756,         522,       1501
 207,      2772,         529,       1501
 208,      2601,         511,       1501
 209,      2770,         535,       1501
 210,      2747,         534,       1501
 211,      2819,         544,       1501
 212,      2769,         539,       1501
 213,      2922,         534,       1501
 214,      2741,         559,       1500
 215,      2813,         544,       1501
 216,      2805,         552,       2001
 217,      2810,         550,       1501
 218,      2796,         559,       1501
 219,      2939,         559,       2001
 220,      2808,         562,       1501
 221,      3017,         574,       1501
 222,      2929,         571,       1501
 223,      2978,         575,       1501
 224,      2975,         586,       1501
 225,      2986,         586,       1501
 226,      3026,         586,       1501
 227,      3039,         580,       1501
 228,      3065,         583,       1501
 229,      3136,         590,       1501
 230,      3020,         588,       1501
 231,      3014,         590,       1500
 232,      3110,         591,       2002
 233,      3074,         604,       1500
 234,      2966,         598,       2002
 235,      3038,         614,       1501
 236,      3105,         595,       2001
 237,      2999,         623,       1501
 238,      3165,         616,       1501
 239,      3275,         613,       2001
 240,      3181,         625,       2001
 241,      3176,         618,       1501
 242,      3181,         636,       2001
 243,      3402,         615,       2002
 244,      3174,         630,       2001
 245,      3419,         641,       2001
 246,      3212,         639,       1501
 247,      3338,         633,       2001
 248,      3365,         636,       2001
 249,      3351,         650,       2002
 250,      3358,         650,       2001
 251,      3380,         653,       2002
 252,      3349,         650,       2002
 253,      3270,         652,       2001
 254,      3684,         657,       2001
 255,      3643,         663,       2002
 256,      3562,         666,       2001
 257,      3529,         671,       2001
 258,      3565,         665,       2001
 259,      3535,         671,       2002
 260,      3521,         666,       2001
 261,      3584,         683,       2001
 262,      3709,         677,       2002
 263,      3679,         682,       2002
 264,      3633,         688,       1500
 265,      3559,         681,       1501
 266,      3579,         699,       2001
 267,      3501,         679,       2001
 268,      3565,         694,       2001
 269,      3503,         721,       2001
 270,      3719,         706,       2001
 271,      3755,         713,       2001
 272,      3806,         710,       2001
 273,      3640,         711,       2002
 274,      3695,         716,       2001
 275,      3718,         725,       2001
 276,      3673,         727,       2001
 277,      3788,         738,       2001
 278,      3832,         734,       2001
 279,      3863,         740,       2001
 280,      3814,         741,       2001
 281,      3705,         744,       2001
 282,      3898,         730,       2502
 283,      3811,         751,       2001
 284,      4016,         744,       2501
 285,      3869,         770,       2001
 286,      4050,         744,       2001
 287,      3939,         775,       2001
 288,      4092,         747,       2002
 289,      3770,         760,       2001
 290,      3923,         769,       2001
 291,      3892,         780,       2001
 292,      4199,         777,       2501
 293,      4230,         765,       2503
 294,      4032,         779,       2001
 295,      4084,         783,       2001
 296,      4256,         794,       2502
 297,      4357,         787,       2501
 298,      4161,         789,       2002
 299,      4361,         782,       2001
 300,      4126,         797,       2001
 301,      4028,         815,       2502
 302,      4149,         804,       2501
 303,      4148,         814,       2502
 304,      4205,         812,       2502
 305,      4108,         834,       2501
 306,      4160,         823,       2002
 307,      4200,         839,       2001
 308,      4367,         827,       2001
 309,      4413,         829,       2502
 310,      4308,         853,       2501
 311,      4433,         843,       2502
 312,      4253,         834,       2501
 313,      4405,         841,       2502
 314,      4368,         832,       2501
 315,      4491,         866,       2502
 316,      4176,         852,       2001
 317,      4237,         854,       2501
 318,      4264,         874,       2502
 319,      4418,         871,       2001
 320,      4334,         863,       2502
 321,      4500,         865,       2501
 322,      4379,         868,       2502
 323,      4553,         885,       2501
 324,      4497,         870,       2502
 325,      4333,         887,       2502
 326,      4439,         898,       2501
 327,      4500,         899,       2502
 328,      4465,         887,       2502
 329,      4740,         882,       2502
 330,      4719,         892,       2502
 331,      4768,         910,       2502
 332,      4658,         924,       2501
 333,      4480,         916,       2502
 334,      4641,         908,       2502
 335,      4632,         908,       2501
 336,      4759,         915,       2502
 337,      4686,         911,       2501
 338,      4589,         901,       2502
 339,      4661,         909,       2502
 340,      4755,         897,       2501
 341,      4710,         918,       2502
 342,      5228,         946,       3002
 343,      5205,         937,       3002
 344,      4759,         946,       2502
 345,      4780,         950,       2502
 346,      5007,         941,       3002
 347,      4927,         941,       3003
 348,      4733,         965,       2501
 349,      4963,         935,       3002
 350,      5080,         949,       3002
 351,      4921,         951,       3002
 352,      5120,         939,       3002
 353,      5002,         964,       2501
 354,      5309,         948,       2502
 355,      4883,         957,       2502
 356,      5464,         959,       3002
 357,      5432,         943,       2502
 358,      4941,         999,       2502
 359,      5351,         961,       3002
 360,      5079,         985,       3001
 361,      5156,         985,       3004
 362,      5246,        1001,       3001
 363,      5086,         993,       3002
 364,      5606,         981,       3002
 365,      5198,        1003,       2502
 366,      5274,        1010,       3003
 367,      5219,        1019,       3002
