   n, heap_cmp, heap_swaps, heap_time
 331,     4734,       2673,      3502
 332,     4755,       2691,      4003
 333,     4774,       2701,      3503
 334,     4787,       2710,      3002
 335,     4804,       2717,      3002
 336,     4821,       2727,      3002
 337,     4839,       2735,      3503
 338,     4856,       2745,      3002
 339,     4871,       2750,      3003
 340,     4889,       2765,      3002
 341,     4909,       2776,      3502
 342,     4925,       2786,      3002
 343,     4945,       2797,      3002
 344,     4960,       2802,      3503
 345,     4982,       2817,      3503
 346,     4998,       2829,      3002
 347,     5017,       2838,      3002
 348,     5033,       2848,      3502
 349,     5049,       2854,      3503
 350,     5068,       2866,      3002
 351,     5090,       2877,      3002
 352,     5103,       2884,      3002
 353,     5123,       2895,      3503
 354,     5144,       2904,      3502
 355,     5159,       2913,      3503
 356,     5173,       2921,      3502
 357,     5191,       2931,      3503
 358,     5203,       2936,      3002
 359,     5225,       2948,      3002
 360,     5248,       2963,      3503
 361,     5268,       2975,      3502
 362,     5281,       2983,      3503
 363,     5296,       2988,      3502
 364,     5317,       3002,      3502
 365,     5332,       3006,      3503
 366,     5349,       3019,      3502
 367,     5368,       3029,      3503
 368,     5385,       3037,      3503
 369,     5406,       3044,      3502
 370,     5424,       3052,      3503
 371,     5436,       3066,      3502
 372,     5455,       3074,      4003
 373,     5472,       3081,      3503
 374,     5489,       3095,      3502
 375,     5512,       3103,      3502
 376,     5528,       3120,      3503
 377,     5547,       3127,      4002
 378,     5561,       3137,      3503
 379,     5583,       3148,      4003
 380,     5600,       3155,      3503
 381,     5619,       3162,      3503
 382,     5632,       3173,      3502
 383,     5651,       3184,      3503
 384,     5665,       3187,      4003
 385,     5680,       3199,      3503
 386,     5698,       3209,      3502
 387,     5716,       3215,      4004
 388,     5733,       3228,      3502
 389,     5753,       3231,      3503
 390,     5770,       3247,      4003
 391,     5783,       3253,      4003
 392,     5802,       3267,      4003
 393,     5823,       3277,      4003
 394,     5841,       3289,      4004
 395,     5859,       3293,      4002
 396,     5879,       3310,      5005
 397,     5897,       3320,      4002
 398,     5905,       3325,      4003
 399,     5923,       3333,      4003
 400,     5940,       3347,      4004
 401,     5963,       3361,      4002
 402,     5979,       3367,      4504
 403,     6000,       3375,      4503
 404,     6014,       3383,      4003
 405,     6028,       3394,      4003
 406,     6042,       3405,      4003
 407,     6066,       3414,      4003
 408,     6082,       3425,      4004
 409,     6098,       3433,      4003
 410,     6119,       3446,      4504
 411,     6135,       3456,      4003
 412,     6149,       3460,      4003
 413,     6171,       3476,      4503
 414,     6186,       3485,      4003
 415,     6204,       3489,      4003
 416,     6222,       3498,      4004
 417,     6237,       3505,      4003
 418,     6248,       3516,      4003
 419,     6272,       3526,      4003
 420,     6288,       3537,      4003
 421,     6308,       3546,      4003
