   n, quick_cmp, quick_swaps, quick_time
 424,     32607,         740,      13511
 425,     32750,         742,      14012
 426,     32894,         744,      14011
 427,     33038,         746,      14011
 428,     33184,         748,      14512
 429,     33325,         749,      14012
 430,     33470,         751,      14011
 431,     33615,         753,      14512
 432,     33978,         757,      14512
 433,     34125,         759,      14512
 434,     34343,         760,      14512
 435,     34488,         761,      14512
 436,     34345,         761,      14512
 437,     34493,         763,      14012
 438,     34862,         767,      14512
 439,     35011,         769,      15012
 440,     34940,         769,      14512
 441,     35092,         771,      15012
 442,     35240,         771,      14512
 443,     35392,         773,      15012
 444,     35323,         775,      15012
 445,     35475,         777,      14512
 446,     35852,         781,      15012
 447,     36005,         783,      15513
 448,     36230,         784,      15513
 449,     36386,         786,      15512
 450,     36246,         786,      15512
 451,     36402,         788,      15512
 452,     36554,         789,      15513
 453,     36709,         791,      15513
 454,     36865,         793,      15513
 455,     37022,         795,      15513
 456,     37631,         798,      15513
 457,     37787,         800,      16013
 458,     38175,         805,      16514
 459,     38335,         807,      16013
 460,     38037,         805,      16013
 461,     38197,         807,      16014
 462,     38353,         807,      16013
 463,     38511,         809,      16013
 464,     38442,         811,      16013
 465,     38602,         813,      16513
 466,     38763,         815,      16013
 467,     38924,         817,      16514
 468,     39086,         819,      17014
 469,     39248,         821,      17014
 470,     39411,         823,      17014
 471,     39575,         825,      17014
 472,     39973,         828,      17515
 473,     40136,         830,      16514
 474,     40374,         831,      17014
 475,     40539,         833,      17014
 476,     40392,         833,      17514
 477,     40552,         834,      17014
 478,     40955,         836,      17014
 479,     41121,         838,      17014
 480,     41526,         841,      17514
 481,     41697,         844,      18015
 482,     41617,         842,      18015
 483,     41784,         844,      18515
 484,     41711,         846,      18515
 485,     41875,         847,      18015
 486,     42042,         849,      18015
 487,     42208,         851,      18015
 488,     42863,         853,      18016
 489,     43026,         854,      18014
 490,     43023,         856,      18015
 491,     43026,         856,      18515
 492,     43610,         861,      19516
 493,     43613,         861,      18516
 494,     43866,         862,      19016
 495,     44037,         864,      19016
 496,     43961,         866,      19016
 497,     44132,         868,      19016
 498,     44554,         872,      19015
 499,     44727,         874,      19516
 500,     44640,         873,      18516
 501,     44816,         876,      18516
 502,     44994,         876,      19516
 503,     45166,         878,      19016
 504,     45591,         880,      19516
 505,     45764,         882,      19517
 506,     45843,         882,      19517
 507,     45850,         884,      19516
 508,     46623,         890,      20017
 509,     46796,         891,      20017
 510,     46635,         891,      19516
 511,     46811,         893,      19517
 512,     47245,         897,      20016
 513,     47423,         899,      19517
 514,     47506,         899,      19516
 515,     47341,         900,      23020
 516,     47696,         901,      20517
 517,     47873,         903,      20017
 518,     48051,         905,      20016
 519,     48231,         907,      20017
 520,     48405,         908,      20016
 521,     48583,         910,      20517
 522,     48762,         912,      21018
 523,     48942,         914,      20517
 524,     49122,         916,      21018
 525,     49299,         917,      21017
 526,     49477,         919,      21018
 527,     49655,         921,      21017
 528,     49833,         923,      20517
 529,     50012,         925,      21017
 530,     50194,         927,      21018
 531,     50370,         928,      21517
 532,     50549,         930,      21518
 533,     50729,         932,      22018
 534,     50912,         934,      21518
 535,     51093,         936,      21518
 536,     51276,         938,      22018
 537,     51458,         940,      22019
 538,     51905,         941,      22018
 539,     52086,         943,      22019
 540,     52534,         946,      22018
 541,     52718,         948,      22020
 542,     52630,         949,      21517
 543,     52818,         951,      22018
 544,     53633,         955,      23020
 545,     53821,         957,      23019
 546,     53648,         957,      23019
 547,     53837,         959,      23019
 548,     54299,         961,      23520
 549,     54485,         962,      23019
 550,     54951,         966,      23519
 551,     55141,         968,      22518
 552,     55052,         967,      22519
 553,     55242,         969,      23019
 554,     55156,         971,      23519
 555,     55347,         973,      23019
 556,     55534,         974,      23520
 557,     55724,         976,      23019
 558,     56198,         980,      23519
 559,     56387,         982,      24020
 560,     56668,         983,      24519
 561,     56861,         985,      25021
 562,     56964,         987,      25022
 563,     57157,         989,      24520
 564,     57440,         990,      24520
 565,     57636,         992,      24520
 566,     57459,         992,      24521
 567,     57655,         994,      24020
 568,     58420,         998,      24521
 569,     58618,        1000,      24520
 570,     58618,        1001,      24021
 571,     58814,        1002,      24020
 572,     59492,        1005,      24520
 573,     59693,        1007,      25021
 574,     59981,        1008,      25021
 575,     60185,        1010,      25021
 576,     60020,        1012,      26021
 577,     60222,        1013,      25522
 578,     60138,        1015,      25022
 579,     60338,        1016,      25520
 580,     60541,        1018,      25522
 581,     60744,        1020,      25521
 582,     60949,        1022,      26022
 583,     61149,        1023,      26022
 584,     61353,        1025,      26021
 585,     61557,        1027,      26523
 586,     62058,        1031,      26522
 587,     62258,        1032,      26522
 588,     62168,        1032,      26523
 589,     62373,        1034,      27523
 590,     62583,        1035,      26022
 591,     62786,        1036,      26522
 592,     62698,        1038,      26023
 593,     62905,        1040,      27022
 594,     63114,        1042,      27024
 595,     63319,        1043,      26021
 596,     63527,        1045,      26522
 597,     63732,        1047,      26522
 598,     63942,        1049,      27023
 599,     64150,        1051,      26522
 600,     64359,        1053,      27023
 601,     64568,        1055,      27523
 602,     65079,        1057,      27522
 603,     65286,        1058,      27523
 604,     66101,        1064,      28023
 605,     66308,        1065,      28023
 606,     66612,        1066,      28023
 607,     66825,        1068,      28024
 608,     66340,        1067,      27523
 609,     66555,        1069,      28023
 610,     66461,        1070,      27523
 611,     66674,        1072,      28023
 612,     67196,        1076,      27523
 613,     67408,        1078,      28024
 614,     67716,        1079,      30025
 615,     67930,        1080,      29024
 616,     67743,        1080,      29025
 617,     67960,        1082,      29524
 618,     68173,        1083,      28523
 619,     68389,        1085,      28024
 620,     68606,        1087,      28023
 621,     68824,        1089,      28524
