    n, heap_cmp, heap_swaps, heap_time
 1380,    24582,      13215,     16013
 1381,    24594,      13235,     15513
 1382,    24616,      13244,     16013
 1383,    24624,      13225,     16013
 1384,    24633,      13239,     18015
 1385,    24684,      13269,     17014
 1386,    24745,      13296,     16014
 1387,    24693,      13244,     15513
 1388,    24706,      13273,     15513
 1389,    24740,      13314,     16514
 1390,    24794,      13302,     15513
 1391,    24815,      13330,     16014
 1392,    24844,      13325,     16013
 1393,    24851,      13360,     16013
 1394,    24875,      13357,     16013
 1395,    24906,      13349,     16014
 1396,    24899,      13372,     16013
 1397,    24935,      13383,     15513
 1398,    24952,      13389,     16013
 1399,    24967,      13422,     16013
 1400,    24977,      13408,     16013
 1401,    24994,      13430,     16012
 1402,    25036,      13438,     16013
 1403,    25077,      13463,     16013
 1404,    25101,      13470,     16014
 1405,    25077,      13459,     16513
 1406,    25099,      13480,     16513
 1407,    25142,      13507,     16013
 1408,    25178,      13536,     16013
 1409,    25158,      13521,     16514
 1410,    25185,      13524,     16013
 1411,    25230,      13541,     16514
 1412,    25270,      13569,     16013
 1413,    25264,      13570,     16013
 1414,    25271,      13555,     16513
 1415,    25285,      13565,     16013
 1416,    25329,      13597,     16514
 1417,    25392,      13635,     16014
 1418,    25392,      13648,     16514
 1419,    25416,      13663,     16013
 1420,    25393,      13635,     16514
 1421,    25438,      13644,     16014
 1422,    25476,      13677,     16514
 1423,    25475,      13684,     16514
 1424,    25502,      13693,     16513
 1425,    25493,      13679,     16014
 1426,    25550,      13720,     16514
 1427,    25550,      13694,     16514
 1428,    25581,      13737,     16013
 1429,    25575,      13736,     16015
 1430,    25626,      13763,     17013
 1431,    25624,      13768,     16013
 1432,    25637,      13760,     17014
 1433,    25670,      13780,     16513
 1434,    25725,      13824,     16514
 1435,    25715,      13792,     16514
 1436,    25754,      13828,     16513
 1437,    25770,      13844,     16514
 1438,    25769,      13854,     17014
 1439,    25803,      13851,     16014
 1440,    25811,      13870,     16514
 1441,    25857,      13889,     16515
 1442,    25850,      13881,     17015
 1443,    25880,      13917,     16512
 1444,    25889,      13906,     16513
 1445,    25969,      13946,     17014
 1446,    25932,      13913,     16014
 1447,    25974,      13947,     16514
 1448,    25986,      13929,     16513
 1449,    26020,      13966,     16514
 1450,    26043,      13970,     17014
 1451,    26041,      13980,     16514
 1452,    26101,      14033,     16514
 1453,    26122,      14019,     17016
 1454,    26105,      14024,     16513
 1455,    26180,      14043,     17014
 1456,    26146,      14053,     16515
 1457,    26202,      14077,     16514
 1458,    26210,      14080,     17014
 1459,    26210,      14075,     16514
 1460,    26243,      14086,     17014
 1461,    26273,      14101,     17015
 1462,    26284,      14096,     17014
 1463,    26296,      14117,     16514
 1464,    26364,      14164,     17014
 1465,    26338,      14136,     16513
 1466,    26335,      14122,     17013
 1467,    26380,      14147,     17014
 1468,    26428,      14181,     17014
 1469,    26457,      14196,     17014
 1470,    26508,      14255,     17514
 1471,    26490,      14217,     16514
 1472,    26550,      14251,     17515
 1473,    26513,      14237,     16515
 1474,    26537,      14243,     17014
 1475,    26573,      14240,     17014
 1476,    26619,      14272,     17015
 1477,    26647,      14295,     17014
 1478,    26632,      14296,     17014
 1479,    26685,      14334,     17515
 1480,    26692,      14321,     16514
 1481,    26711,      14342,     17014
 1482,    26737,      14346,     17515
 1483,    26762,      14378,     17014
 1484,    26761,      14358,     17014
 1485,    26796,      14361,     16514
 1486,    26811,      14390,     17014
 1487,    26811,      14380,     17014
 1488,    26860,      14423,     17514
 1489,    26879,      14435,     17014
 1490,    26908,      14436,     17515
 1491,    26872,      14413,     17014
 1492,    26954,      14470,     17515
 1493,    26946,      14477,     17514
 1494,    26974,      14477,     17514
 1495,    26976,      14472,     17515
 1496,    27012,      14497,     17014
 1497,    27080,      14540,     18015
 1498,    27073,      14518,     17014
 1499,    27082,      14523,     17515
 1500,    27102,      14525,     17515
 1501,    27133,      14532,     17514
 1502,    27144,      14564,     17515
 1503,    27164,      14567,     17514
 1504,    27189,      14597,     17514
 1505,    27150,      14563,     17014
 1506,    27226,      14607,     17514
 1507,    27250,      14611,     17513
 1508,    27282,      14628,     17514
 1509,    27267,      14629,     18015
 1510,    27320,      14639,     17514
 1511,    27331,      14646,     17515
 1512,    27342,      14654,     17514
 1513,    27355,      14670,     17514
 1514,    27386,      14672,     17515
 1515,    27369,      14680,     17515
 1516,    27413,      14709,     17514
 1517,    27429,      14705,     18015
 1518,    27478,      14736,     18015
 1519,    27501,      14747,     17514
 1520,    27468,      14735,     17514
 1521,    27554,      14776,     17515
 1522,    27570,      14804,     17515
 1523,    27590,      14798,     17516
 1524,    27604,      14796,     18014
 1525,    27600,      14802,     17514
 1526,    27633,      14813,     18015
 1527,    27651,      14820,     18015
 1528,    27639,      14810,     17515
 1529,    27694,      14854,     17515
 1530,    27701,      14853,     18016
 1531,    27713,      14863,     17514
 1532,    27751,      14888,     17515
 1533,    27760,      14868,     17514
 1534,    27767,      14895,     17514
 1535,    27777,      14911,     17514
 1536,    27821,      14930,     18015
 1537,    27829,      14915,     18015
 1538,    27905,      14975,     18015
 1539,    27888,      14943,     17515
 1540,    27922,      14983,     17515
 1541,    27899,      14952,     18015
 1542,    27961,      14977,     18015
 1543,    27980,      14974,     18015
 1544,    27993,      15002,     18015
 1545,    28006,      15020,     18015
 1546,    28018,      15024,     18015
 1547,    28067,      15038,     18516
 1548,    28127,      15098,     18015
 1549,    28141,      15103,     18015
 1550,    28136,      15082,     18014
 1551,    28146,      15093,     17514
 1552,    28155,      15085,     18015
 1553,    28190,      15097,     18015
 1554,    28227,      15141,     18516
 1555,    28246,      15153,     18015
 1556,    28229,      15122,     18015
 1557,    28282,      15173,     18515
 1558,    28259,      15130,     18015
 1559,    28303,      15185,     17515
 1560,    28351,      15206,     18015
 1561,    28335,      15176,     18515
 1562,    28360,      15182,     18015
 1563,    28402,      15220,     18015
 1564,    28469,      15264,     17514
 1565,    28450,      15250,     18015
 1566,    28410,      15214,     18516
 1567,    28493,      15266,     18015
 1568,    28491,      15276,     18015
 1569,    28542,      15317,     18516
 1570,    28537,      15294,     18515
 1571,    28570,      15305,     18516
 1572,    28551,      15291,     18515
 1573,    28631,      15344,     18014
 1574,    28619,      15343,     18515
 1575,    28642,      15339,     18516
 1576,    28651,      15366,     18515
 1577,    28690,      15359,     18015
 1578,    28690,      15367,     18015
 1579,    28722,      15393,     18515
 1580,    28776,      15429,     18516
 1581,    28753,      15401,     18514
 1582,    28810,      15461,     18515
 1583,    28796,      15444,     18515
 1584,    28856,      15462,     18515
 1585,    28877,      15478,     18515
 1586,    28881,      15473,     18516
 1587,    28898,      15500,     18515
 1588,    28909,      15479,     18516
